budget,dataset,mean_accuracy,mean_avg_actions,mean_avg_expansions,mean_avg_verifications,mean_budget_exhaustion_rate,method,n_rows,std_accuracy,std_avg_actions,stderr_accuracy,stderr_avg_actions
8,Idavidrein/gpqa,0.6944444444444445,3.805555555555556,3.805555555555556,0.0,0.08333333333333333,reasoning_beam2,3,0.1924500897298752,0.25458753860865757,0.11111111111111109,0.1469861839480327
8,Idavidrein/gpqa,0.4166666666666667,2.1666666666666665,2.1666666666666665,0.0,0.0,reasoning_greedy,3,0.22047927592204924,0.2886751345948129,0.12729376930432892,0.16666666666666669
8,Idavidrein/gpqa,0.6111111111111112,7.694444444444444,5.388888888888889,2.3055555555555554,0.75,self_consistency_3,3,0.1272937693043289,0.1272937693043288,0.07349309197401642,0.07349309197401636
8,Idavidrein/gpqa,0.4166666666666667,4.5,2.5833333333333335,1.9166666666666667,0.25,strict_coupled_tie_aware_promoted,3,0.0,1.5433549314543442,0.0,0.891056385130302
8,Idavidrein/gpqa,0.36111111111111116,6.0,3.0,3.0,0.0,verifier_guided_search,3,0.1924500897298753,0.0,0.11111111111111113,0.0
10,Idavidrein/gpqa,0.3055555555555555,5.416666666666667,2.861111111111111,2.555555555555556,0.27777777777777773,adaptive_budget_guarded,3,0.17347216662217774,1.7638342073763937,0.10015420209622193,1.0183501544346312
10,Idavidrein/gpqa,0.5833333333333334,4.444444444444444,4.444444444444444,0.0,0.0,reasoning_beam2,3,0.22047927592204922,0.48828877309019303,0.1272937693043289,0.28191365458589507
10,Idavidrein/gpqa,0.5277777777777778,2.111111111111111,2.111111111111111,0.0,0.0,reasoning_greedy,3,0.048112522432468836,0.3849001794597506,0.027777777777777794,0.22222222222222227
10,Idavidrein/gpqa,0.638888888888889,8.861111111111112,6.166666666666667,2.694444444444444,0.4166666666666667,self_consistency_3,3,0.0962250448649376,0.47385339192311027,0.055555555555555546,0.27357938338322496
10,Idavidrein/gpqa,0.3055555555555555,5.416666666666667,2.861111111111111,2.555555555555556,0.27777777777777773,strict_coupled_tie_aware_promoted,3,0.17347216662217774,1.7638342073763937,0.10015420209622193,1.0183501544346312
10,Idavidrein/gpqa,0.36111111111111116,7.9444444444444455,4.944444444444444,3.0,0.0,verifier_guided_search,3,0.09622504486493764,0.5548606765399494,0.055555555555555566,0.3203489609630777
6,meituan-longcat/AMO-Bench,0.38888888888888884,2.972222222222222,1.9166666666666667,1.0555555555555556,0.19444444444444442,adaptive_budget_guarded,3,0.09622504486493764,0.33678765702728186,0.055555555555555566,0.19444444444444456
6,meituan-longcat/AMO-Bench,0.5555555555555555,4.277777777777778,4.277777777777778,0.0,0.2222222222222222,reasoning_beam2,3,0.0962250448649376,0.09622504486493728,0.055555555555555546,0.05555555555555536
6,meituan-longcat/AMO-Bench,0.5833333333333334,2.444444444444444,2.444444444444444,0.0,0.0,reasoning_greedy,3,0.22047927592204922,0.7561476438231223,0.1272937693043289,0.4365620457083809
6,meituan-longcat/AMO-Bench,0.3888888888888889,6.0,4.388888888888889,1.611111111111111,1.0,self_consistency_3,3,0.2097176232019653,0.0,0.12108052620946318,0.0
6,meituan-longcat/AMO-Bench,0.38888888888888884,2.972222222222222,1.9166666666666667,1.0555555555555556,0.19444444444444442,strict_coupled_tie_aware_promoted,3,0.09622504486493764,0.33678765702728186,0.055555555555555566,0.19444444444444456
6,meituan-longcat/AMO-Bench,0.25,6.0,3.0,3.0,1.0,verifier_guided_search,3,0.0,0.0,0.0,0.0
8,meituan-longcat/AMO-Bench,0.3888888888888889,4.444444444444444,2.8055555555555554,1.6388888888888886,0.19444444444444442,adaptive_budget_guarded,3,0.1272937693043289,0.7742977702647973,0.07349309197401642,0.44704102609530777
8,meituan-longcat/AMO-Bench,0.5833333333333334,3.888888888888889,3.888888888888889,0.0,0.0,reasoning_beam2,3,0.08333333333333331,0.2678791878053597,0.04811252243246881,0.15466012118972275
8,meituan-longcat/AMO-Bench,0.5555555555555555,1.9166666666666667,1.9166666666666667,0.0,0.0,reasoning_greedy,3,0.0962250448649376,0.14433756729740657,0.055555555555555546,0.08333333333333341
8,meituan-longcat/AMO-Bench,0.5555555555555555,7.416666666666667,5.083333333333333,2.3333333333333335,0.5833333333333334,self_consistency_3,3,0.26787918780535985,0.14433756729740646,0.15466012118972283,0.08333333333333334
8,meituan-longcat/AMO-Bench,0.3888888888888889,4.444444444444444,2.8055555555555554,1.6388888888888886,0.19444444444444442,strict_coupled_tie_aware_promoted,3,0.1272937693043289,0.7742977702647973,0.07349309197401642,0.44704102609530777
8,meituan-longcat/AMO-Bench,0.36111111111111116,6.0,3.0,3.0,0.0,verifier_guided_search,3,0.17347216662217774,0.0,0.10015420209622193,0.0
10,meituan-longcat/AMO-Bench,0.47222222222222227,5.027777777777778,3.0833333333333335,1.9444444444444444,0.2222222222222222,adaptive_budget_guarded,3,0.0481125224324688,0.7698003589195014,0.027777777777777773,0.4444444444444447
10,meituan-longcat/AMO-Bench,0.5833333333333334,4.138888888888888,4.138888888888888,0.0,0.027777777777777776,reasoning_beam2,3,0.14433756729740646,1.4680233624137566,0.08333333333333334,0.847563683466242
10,meituan-longcat/AMO-Bench,0.5277777777777778,2.138888888888889,2.138888888888889,0.0,0.0,reasoning_greedy,3,0.12729376930432887,0.12729376930432887,0.07349309197401639,0.07349309197401639
10,meituan-longcat/AMO-Bench,0.6111111111111112,8.111111111111112,5.25,2.8611111111111107,0.25,self_consistency_3,3,0.048112522432468774,0.2545875386086581,0.027777777777777755,0.14698618394803303
10,meituan-longcat/AMO-Bench,0.47222222222222227,5.027777777777778,3.0833333333333335,1.9444444444444444,0.2222222222222222,strict_coupled_tie_aware_promoted,3,0.0481125224324688,0.7698003589195014,0.027777777777777773,0.4444444444444447
10,meituan-longcat/AMO-Bench,0.5833333333333334,7.694444444444444,4.694444444444444,3.0,0.0,verifier_guided_search,3,0.14433756729740646,0.24056261216234373,0.08333333333333334,0.1388888888888887
6,openai/gsm8k,0.41666666666666674,3.75,2.6666666666666665,1.0833333333333333,0.2222222222222222,adaptive_budget_guarded,3,0.22047927592204924,0.4639803635691686,0.12729376930432892,0.26787918780535996
6,openai/gsm8k,0.5,3.8333333333333335,3.8333333333333335,0.0,0.16666666666666666,reasoning_beam2,3,0.0,0.5204164998665333,0.0,0.30046260628866583
6,openai/gsm8k,0.5277777777777778,2.1666666666666665,2.1666666666666665,0.0,0.0,reasoning_greedy,3,0.2097176232019653,0.38188130791298674,0.12108052620946318,0.22047927592204927
6,openai/gsm8k,0.4166666666666667,6.0,4.277777777777778,1.7222222222222223,1.0,self_consistency_3,3,0.08333333333333334,0.0,0.04811252243246882,0.0
6,openai/gsm8k,0.41666666666666674,3.75,2.6666666666666665,1.0833333333333333,0.2222222222222222,strict_coupled_tie_aware_promoted,3,0.22047927592204924,0.4639803635691686,0.12729376930432892,0.26787918780535996
6,openai/gsm8k,0.16666666666666666,6.0,3.0,3.0,1.0,verifier_guided_search,3,0.0,0.0,0.0,0.0
8,openai/gsm8k,0.38888888888888884,3.3611111111111107,2.416666666666667,0.9444444444444443,0.13888888888888887,adaptive_budget_guarded,3,0.09622504486493764,0.6684005230842203,0.055555555555555566,0.38590122192916126
8,openai/gsm8k,0.638888888888889,3.694444444444444,3.694444444444444,0.0,0.0,reasoning_beam2,3,0.17347216662217774,0.2926570486903539,0.10015420209622193,0.16896562584161726
8,openai/gsm8k,0.4166666666666667,2.277777777777778,2.277777777777778,0.0,0.0,reasoning_greedy,3,0.16666666666666669,0.20971762320196521,0.09622504486493764,0.12108052620946314
